"unidade federativa","obras municipais com problemas","obras municipais a serem entregues","total obras municipais","repasse estimado para obras municipais com problemas","obras estaduais com problemas","obras estaduais a serem entregues","total obras estaduais","repasse estimado obras estaduais com problemas","total obras com problemas por uf","total de obras a serem entregues por uf","total de obras por uf","total repasse estimado para obras com problemas por uf"
"AC",19,27,81,13381964,21,26,102,25097637,40,53,183,38479601
"AL",36,88,237,18484552,3,3,80,3412474,39,91,317,21897026
"AM",189,233,459,73574031,19,21,53,9881021,208,254,512,83455052
"AP",20,32,62,12082248,10,10,30,1553185,30,42,92,13635433
"BA",317,552,1098,157682888,41,41,127,23244481,358,593,1225,180927369
"CE",131,264,696,99185812,60,78,185,108656135,191,342,881,207841947
"DF",0,0,0,0,3,9,115,8644937,3,9,115,8644937
"ES",37,65,147,14925625,3,3,3,8874803,40,68,150,23800428
"GO",111,185,505,67247686,44,58,65,66946243,155,243,570,134193929
"MA",384,634,1106,166806638,21,25,75,3566417,405,659,1181,170373055
"MG",197,467,1238,106679837,10,13,32,13857730,207,480,1270,120537567
"MS",34,62,233,21403472,3,7,36,0,37,69,269,21403472
"MT",74,141,376,36105821,30,31,152,22763742,104,172,528,58869563
"PA",276,457,993,127389401,43,49,72,51127325,319,506,1065,178516726
"PB",75,115,324,52426714,4,7,32,19184784,79,122,356,71611498
"PE",114,225,591,40986989,19,20,94,20677194,133,245,686,61664183
"PI",126,222,357,63515142,3,7,61,1253263,129,229,418,64768405
"PR",89,204,859,47791856,39,42,92,45238637,128,246,951,93030493
"RJ",63,77,322,29041710,0,0,2,0,63,77,324,29041710
"RN",53,99,237,30274961,4,6,21,5691931,57,105,258,35966892
"RO",30,55,130,18822041,2,2,24,953247,32,57,154,19775288
"RR",19,25,74,10841812,7,8,13,4059452,26,33,87,14901264
"RS",146,239,888,94159998,9,9,28,0,155,248,916,94159998
"SC",50,120,462,37436055,4,9,37,1946710,54,129,499,39382765
"SE",39,56,143,20190741,0,0,21,0,39,56,164,20190741
"SP",104,196,958,58803078,2,3,8,14428864,106,199,966,73231942
"TO",88,129,283,51370648,8,10,46,12140560,96,139,329,63511208
