project_id,tempo_obra
1001588,7
1001776,7
1001930,7
1001979,6
1001980,6
1002695,17
1003779,5
1003814,35
1005476,35
1005478,9
1005481,22
1005482,28
1005680,9
1005681,8
1005682,6
1006458,5
1006461,18
1006462,9
1006463,9
1006495,5
1009589,37
1009591,37
1009592,13
1009599,10
1009600,10
1009602,37
1009605,19
1009606,9
1009611,10
1009617,10
1009618,10
1009619,17
1009621,25
1009623,22
1009624,9
1009626,9
1009631,11
1009632,10
1009633,10
1009638,40
1009639,13
1009642,10
1009646,10
1009649,25
1009650,9
1009659,9
1009660,26
1010086,31
1010088,26
1010371,19
1010675,19
1010694,21
1010695,21
1010696,22
1010698,20
1010753,37
1010804,32
1010808,12
1010810,13
1010815,18
1010978,7
1010979,7
1011115,7
1011150,8
1012293,13
1012294,13
1012837,17
1017901,21
1017905,21
1017907,7
1017908,26
1018477,9
1018608,33
1018610,32
1018620,8
1018639,11
1021872,13
1021873,26
1029139,8
1041083,11
1067788,8
11255,10
11256,12
11259,10
17386,7
17435,53
18933,55
19225,19
19239,11
19337,7
19620,24
19692,17
19820,11
19831,18
19997,7
20111,7
23261,58
23262,29
23263,20
23265,59
23266,56
23269,19
23270,28
23272,37
24470,49
24471,37
24472,58
24478,71
24626,5
24709,26
24711,7
24836,32
24837,34
24909,7
24959,19
25004,15
25046,29
25047,22
25132,7
25133,8
25134,9
25409,20
25413,11
25437,26
25442,9
25447,8
25448,9
27406,8
27417,32
27418,8
27423,6
27431,7
27432,6
27433,7
27437,7
27440,7
27442,6
27444,5
27446,7
27544,48
27545,19
27546,45
27547,45
27548,40
27701,9
27705,12
27715,12
28525,47
28533,46
28931,8
29299,34
29302,15
29307,42
29309,10
3,9
30789,17
30792,17
30796,38
30797,10
30800,10
30804,11
30807,19
30811,19
30817,12
30820,20
30823,18
30824,13
31912,19
31913,12
32906,22
32925,9
32942,32
32943,21
32950,13
4,9
6417,55
6418,73
6419,32
6421,64
6422,64
6423,100
6714,6
6831,40
